"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-28","88","99","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-29","87","98","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-30","88","98","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-01","88","99","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-02","87","98","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-03","86","97","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-04","85","94","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-05","87","96","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-06","81","89","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-07","82","92","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-08","84","92","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-09","87","95","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-10","87","98","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-11","88","98","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-12","88","99","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-13","89","99","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-14","88","98","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-15","88","99","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-16","88","100","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-17","88","101","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-18","88","99","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-19","88","100","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-20","87","99","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-21","87","99","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-22","89","101","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-23","86","100","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-24","86","97","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-25","86","95","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-26","87","99","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-27","87","96","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-28","86","96","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-29","87","97","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-30","88","99","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-07-31","89","102","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-01","89","101","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-02","89","101","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-03","89","99","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-04","89","101","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-05","89","101","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-06","89","101","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-07","89","102","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-08","89","100","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-09","89","101","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-10","90","102","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-11","90","102","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-12","90","102","83"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-13","89","102","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-14","89","103","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-15","91","104","83"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-16","90","100","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-17","88","103","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-18","88","102","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-19","88","103","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-20","91","107","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-21","90","100","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-22","89","97","84"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-23","90","101","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-24","92","107","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-25","92","101","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-26","90","104","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-27","92","109","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-28","89","100","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-29","89","98","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-30","89","101","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-08-31","89","100","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-01","89","101","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-02","88","99","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-03","88","98","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-04","87","95","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-05","88","98","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-06","88","100","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-07","89","103","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-08","89","104","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-09","86","98","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-10","87","97","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-11","85","96","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-12","86","98","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-13","86","97","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-14","80","89","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-15","80","92","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-16","79","90","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-17","82","94","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-18","84","94","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-19","82","92","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-20","84","93","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-21","86","96","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-22","86","96","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-23","86","96","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-24","85","97","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-25","84","96","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-26","80","93","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-27","84","95","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-28","84","94","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-29","84","92","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-09-30","84","93","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-10-01","84","95","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-10-02","83","93","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-10-03","80","82","77"
