"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-05","75","81","55"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-06","59","64","55"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-07","58","59","54"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-08","57","72","54"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-09","65","72","57"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-10","63","68","57"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-11","65","77","58"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-12","65","76","55"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-13","65","79","53"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-14","69","78","57"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-15","77","90","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-16","70","76","55"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-17","64","76","50"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-18","66","78","60"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-19","72","84","65"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-20","74","78","64"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-21","70","78","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-22","68","77","56"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-23","63","65","56"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-24","61","74","54"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-25","67","78","60"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-26","71","81","65"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-27","69","76","60"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-28","69","82","56"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-29","64","70","56"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-30","67","85","53"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-01","71","83","55"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-02","71","81","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-03","73","85","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-04","73","82","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-05","80","92","74"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-06","78","90","67"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-07","76","79","74"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-08","77","84","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-09","70","78","67"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-10","70","74","66"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-11","77","86","71"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-12","80","88","77"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-13","76","79","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-14","74","83","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-15","75","86","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-16","75","88","67"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-17","74","86","67"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-18","76","90","65"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-19","81","92","70"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-20","81","90","72"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-21","74","80","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-22","75","86","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-23","76","88","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-24","77","87","67"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-25","77","86","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-26","78","90","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-27","79","89","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-28","78","88","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-29","78","86","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-30","77","90","67"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-05-31","77","89","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-01","79","89","67"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-02","80","91","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-03","82","94","72"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-04","77","84","66"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-05","76","89","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-06","74","86","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-07","76","90","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-08","78","91","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-09","77","95","67"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-10","83","93","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-11","81","94","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-12","85","95","73"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-13","84","94","74"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-14","85","95","80"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-15","88","98","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-16","87","97","80"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-17","88","97","82"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-18","88","99","80"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-19","89","100","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-20","89","100","83"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-21","89","100","72"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-22","84","97","74"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-23","88","98","77"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-24","87","96","79"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-25","88","98","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-26","88","97","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-27","88","99","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-28","88","98","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-29","88","98","80"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-06-30","88","99","80"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-01","88","100","79"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-02","87","97","76"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-03","84","98","77"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-04","85","92","78"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-05","85","94","77"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-06","80","89","74"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-07","78","91","73"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-08","83","94","74"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-09","87","96","80"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-10","87","98","79"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-11","88","98","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-12","88","98","82"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-13","88","99","82"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-14","88","98","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-15","88","99","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-16","88","99","80"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-17","89","99","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-18","89","100","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-19","88","100","80"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-20","88","99","79"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-21","87","99","78"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-22","89","101","78"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-23","87","100","75"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-24","86","99","74"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-25","87","98","75"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-26","87","99","76"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-27","86","97","75"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-28","86","97","74"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-29","86","98","75"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-30","88","101","77"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-07-31","90","103","80"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-01","91","102","82"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-02","90","102","78"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-03","89","102","78"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-04","89","102","82"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-05","90","103","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-06","90","102","82"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-07","90","101","82"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-08","89","102","82"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-09","90","101","83"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-10","90","103","82"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-11","91","103","83"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-12","91","103","83"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-13","90","103","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-14","90","104","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-15","92","105","83"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-16","90","101","73"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-17","88","105","72"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-18","90","103","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-19","90","103","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-20","92","108","82"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-21","92","102","78"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-22","89","97","82"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-23","89","103","78"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-24","93","109","80"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-25","88","102","77"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-26","89","104","78"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-27","93","109","78"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-28","87","99","77"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-29","88","99","78"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-30","86","101","72"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-08-31","86","100","70"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-01","86","102","72"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-02","86","103","75"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-03","88","100","79"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-04","87","96","79"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-05","89","101","83"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-06","88","103","77"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-07","90","104","81"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-08","91","106","80"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-09","84","97","71"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-10","86","97","70"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-11","81","96","67"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-12","84","97","72"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-13","86","95","76"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-14","79","86","71"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-15","78","91","71"
